DFW data by course for Fall 2020 - Spring 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Highlighted courses mean enrollment per term >= 20 and DFW rate >= 20% (red) or between 15% and 20% (yellow).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,% of enrolled students who are repeating,,DFW Rate,,,,,,,,,,,,,,,,"DFW equity gap (in percentage points)
compared to Female, Not Pell, White, Non-URM, and Not first generation, respectively.
Positive equity gap means the given group has a higher DFW rate than the comparison group",,,,,,,,,,Each group's percent of total course enrollment,,,,,,,,,,,,,
College,Department,Subject,Course,Course Description,Course Division,Course Units,Terms Offered,Total Enrollment,Avg Enrollment per Term,Fall Terms,Spring Terms,All,Female,Male,Not Pell,Pell,African American,Asian,Hispanic,Native American,Pacific Islander,Two or More Races,White,Non-URM,URM,First generation,Not first generation,Male,Pell,African American,Asian,Hispanic,Native American,Pacific Islander,Two or More Races,URM,First generation,Female,Male,Pell,African American,Asian,Hispanic,Native American,Pacific Islander,Two or More Races,White,Non-URM,URM,First generation,
ALS,All College,ALS,ALS 199,Special Problems,Upper,1,4,334,84,,,10.1%,9.4%,12.0%,8.3%,11.2%,15.1%,5.7%,7.7%,0.0%,14.3%,7.1%,14.8%,10.4%,9.9%,10.0%,10.6%,2.6,3.0,0.3,-9.2,-7.1,-14.8,-0.5,-7.7,-0.5,-0.6,70.1%,29.9%,63.8%,15.9%,15.9%,38.9%,0.3%,2.1%,3.9%,16.2%,42.8%,57.2%,41.6%,
ALS,Art,ART,ART 1A,"Art, Relig, Power before 1400",Lower,3,2,398,199,1.5%,,20.6%,18.9%,22.7%,21.5%,20.0%,29.6%,15.7%,22.9%,,0.0%,14.3%,16.4%,17.6%,23.7%,23.5%,17.2%,3.8,-1.5,13.2,-0.8,6.5,,-16.4,-2.2,6.1,6.4,55.8%,44.2%,60.3%,6.8%,20.9%,41.7%,,0.3%,5.3%,18.3%,51.3%,48.7%,38.4%,
ALS,Art,ART,ART 1B,"Art, Empires, and Exchanges",Lower,3,3,387,129,1.6%,1.5%,18.6%,17.5%,20.0%,19.2%,18.0%,21.1%,14.9%,17.9%,0.0%,16.7%,30.0%,14.5%,18.8%,18.4%,17.7%,18.9%,2.5,-1.2,6.6,0.4,3.4,-14.5,2.2,15.5,-0.4,-1.2,54.5%,45.2%,48.8%,9.8%,19.1%,37.5%,0.3%,1.6%,5.2%,17.8%,50.9%,49.1%,33.6%,
ALS,Art,ART,ART 1C,Global Modern & Contemp Art,Lower,3,4,591,148,2.4%,0.7%,11.2%,9.5%,13.7%,9.5%,12.5%,15.2%,16.5%,12.3%,,0.0%,7.3%,6.2%,9.9%,12.5%,14.6%,9.4%,4.2,3.1,9.0,10.3,6.1,,-6.2,1.1,2.6,5.2,60.4%,39.4%,55.3%,7.8%,20.5%,38.4%,,1.0%,6.9%,19.1%,52.8%,47.2%,37.1%,
ALS,Art,ART,ART 3A,Traditional Asian Art,Lower,3,2,234,117,3.0%,,14.5%,13.6%,16.0%,13.7%,15.2%,12.5%,16.7%,16.9%,,0.0%,0.0%,12.9%,14.1%,15.5%,18.2%,13.1%,2.4,1.4,-0.4,3.8,4.0,,-12.9,-12.9,1.4,5.0,59.8%,40.2%,56.4%,3.4%,46.2%,25.2%,,1.7%,6.0%,13.2%,69.7%,30.3%,37.6%,
ALS,Art,ART,ART 3B,Modern+Contemporary Asian Art,Lower,3,2,225,113,,1.3%,12.4%,13.8%,10.5%,8.6%,16.5%,11.1%,6.6%,24.2%,,0.0%,0.0%,6.9%,7.2%,20.9%,20.9%,9.0%,-3.3,7.9,4.2,-0.3,17.3,,-6.9,-6.9,13.7,11.9,57.8%,42.2%,48.4%,8.0%,33.8%,29.3%,,0.9%,8.0%,12.9%,61.8%,38.2%,29.8%,
ALS,Art,ART,ART 4,European Visual Traditions,Lower,3,1,138,138,0.0%,,14.5%,16.1%,11.8%,21.6%,10.3%,12.5%,3.0%,21.7%,0.0%,25.0%,16.7%,0.0%,7.7%,20.5%,15.9%,11.4%,-4.3,-11.2,12.5,3.0,21.7,0.0,25.0,16.7,12.9,4.4,63.0%,37.0%,63.0%,5.8%,23.9%,43.5%,0.7%,2.9%,4.3%,13.8%,47.1%,52.9%,45.7%,
ALS,Art,ART,ART 5,Art of the Americas,Lower,3,2,277,139,,0.0%,11.9%,11.8%,12.2%,8.5%,15.0%,16.0%,13.0%,13.8%,0.0%,0.0%,17.6%,6.3%,10.1%,13.7%,17.8%,8.4%,0.5,6.5,9.7,6.7,7.4,-6.3,-6.3,11.3,3.5,9.3,67.5%,32.5%,53.1%,9.0%,16.6%,39.4%,0.4%,1.4%,6.1%,22.7%,49.8%,50.2%,38.6%,
ALS,Art,ART,ART 7,Intro Art+Visual Culture,Lower,3,4,736,184,1.6%,0.8%,9.9%,10.3%,8.8%,9.3%,10.4%,11.9%,8.5%,11.5%,0.0%,20.0%,5.3%,5.4%,8.0%,11.6%,11.9%,8.4%,-1.4,1.1,6.5,3.1,6.1,-5.4,14.6,-0.1,3.6,3.6,67.5%,32.3%,54.9%,8.0%,20.8%,43.9%,0.1%,0.7%,5.2%,15.2%,47.3%,52.7%,44.4%,
