DFW data by course for Spring 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Highlighted courses mean enrollment per term >= 20 and DFW rate >= 20% (red) or between 15% and 20% (yellow).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,DFW Rate,,,,,,,,,,,,,,,,"DFW equity gap (in percentage points)
compared to Female, Not Pell, White, Non-URM, and Not first generation, respectively.
Positive equity gap means the given group has a higher DFW rate than the comparison group",,,,,,,,,,Each group's percent of total course enrollment,,,,,,,,,,,,,
ALS,Art,ART,ART 22,Beginning Painting,Lower,3,32,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,56.3%,43.8%,59.4%,9.4%,37.5%,31.3%,,,3.1%,18.8%,59.4%,40.6%,28.1%,
ALS,Art,ART,ART 40,Beginning Printmaking,Lower,3,13,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,53.8%,46.2%,38.5%,23.1%,7.7%,23.1%,,,15.4%,15.4%,53.8%,46.2%,7.7%,
ALS,Art,ART,ART 53,Beg Hand-Built Ceramics,Lower,3,27,,0.0%,0.0%,0.0%,0.0%,0.0%,,0.0%,0.0%,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,74.1%,25.9%,55.6%,,7.4%,48.1%,,3.7%,11.1%,22.2%,48.1%,51.9%,25.9%,
ALS,Art,ART,ART 110,Race in US/Caribbean Art,Upper,3,41,2.4%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,68.3%,31.7%,39.0%,7.3%,19.5%,36.6%,,,,29.3%,56.1%,43.9%,29.3%,
ALS,Art,ART,ART 121,BFA Junior Studio,Upper,3,16,6.3%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,62.5%,37.5%,43.8%,6.3%,12.5%,37.5%,,,6.3%,37.5%,56.3%,43.8%,37.5%,
ALS,Art,ART,ART 122B,Advanced Painting,Upper,3,17,,0.0%,0.0%,0.0%,0.0%,0.0%,,0.0%,0.0%,,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,64.7%,35.3%,64.7%,,23.5%,35.3%,,,17.6%,17.6%,64.7%,35.3%,17.6%,
ALS,Art,ART,ART 123,Figure Drawing,Upper,3,16,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,62.5%,37.5%,62.5%,6.3%,18.8%,37.5%,,,6.3%,18.8%,56.3%,43.8%,37.5%,
ALS,Art,ART,ART 129,Painting Drawing Studio,Upper,3,4,,0.0%,0.0%,0.0%,0.0%,0.0%,,,0.0%,,,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0,,,0.0,,,,0.0,0.0,75.0%,25.0%,50.0%,,,25.0%,,,,75.0%,75.0%,25.0%,25.0%,
ALS,Art,ART,ART 130,Theories in Art Education,Upper,3,15,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,0.0%,,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,86.7%,13.3%,66.7%,13.3%,,33.3%,,,6.7%,46.7%,53.3%,46.7%,20.0%,
ALS,Art,ART,ART 140,Intermediate Printmaking,Upper,3,11,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,54.5%,45.5%,63.6%,18.2%,9.1%,27.3%,,,9.1%,36.4%,54.5%,45.5%,18.2%,
ALS,Art,ART,ART 149,Graphic Printmakng Studio,Upper,3,4,,0.0%,0.0%,,,0.0%,,,0.0%,,,,0.0%,0.0%,0.0%,0.0%,0.0%,,,,,0.0,,,,0.0,0.0,100.0%,,100.0%,,,50.0%,,,,50.0%,50.0%,50.0%,25.0%,
ALS,Art,ART,ART 150,Adv Ceramics,Upper,3,10,,0.0%,0.0%,0.0%,0.0%,0.0%,,0.0%,0.0%,,,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0,,0.0,0.0,,,,0.0,0.0,80.0%,20.0%,70.0%,,20.0%,30.0%,,,,40.0%,70.0%,30.0%,40.0%,
ALS,Art,ART,ART 159,Ceramics Studio,Upper,3,1,,0.0%,,0.0%,0.0%,,,,0.0%,,,,,,0.0%,,0.0%,,,,,,,,,,,,100.0%,,,,100.0%,,,,,,100.0%,,
ALS,Art,ART,ART 160,Special Topics in Art Studio,Upper,3,12,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,58.3%,41.7%,66.7%,8.3%,16.7%,16.7%,,,16.7%,33.3%,75.0%,25.0%,16.7%,
ALS,Art,ART,ART 182,Intermediate Sculpture,Upper,3,4,,0.0%,0.0%,0.0%,0.0%,0.0%,,,0.0%,,,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0,,,0.0,,,,0.0,0.0,75.0%,25.0%,75.0%,,,75.0%,,,,25.0%,25.0%,75.0%,75.0%,
